Algorithm,Rank,CompositeScore,ShownInCombinedPlot,Keane_Validity,Keane_Proximity,Keane_Compactness,N_Samples,mean_autocorr_preservation,mean_boundary_distance,mean_class_confidence,mean_l0_norm,mean_l2_distance,mean_manhattan_distance,mean_normalized_distance,mean_percentage_changed,mean_prediction_change,mean_range_validity,mean_segment_sparsity,mean_statistical_similarity,mean_temporal_consistency,evalpy_validity,evalpy_l2_distance,evalpy_euclidean_dist_zscore,evalpy_manhattan_distance,evalpy_normalized_distance,evalpy_dtw_distance,evalpy_l0_norm,evalpy_pct_changed,evalpy_sparsity,evalpy_compactness,evalpy_temporal_consistency,evalpy_autocorr_preservation,evalpy_range_validity,evalpy_keane_validity,evalpy_keane_proximity,evalpy_keane_compactness,evalpy_N_Samples,Runtime_Mean_Seconds,Runtime_Std_Seconds,Runtime_N_Attempts
MG-CF,35.0,0.05230921135476789,False,1.0,17.028222176499945,0.801,2.0,0.995,11.166,0.706,100.0,17.028,142.193,1.0,0.2,1.0,0.959,1.0,0.056,1.0,1.0,17.0282,17.0453,142.1927,0.1436,6.7007,100.0,0.2,0.8,0.801,1.0,0.9951,0.959,1.0,17.0282,0.801,2.0,447.9272971723229,11.130969745097817,10
Glacier-NoAE-Loc,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.567777608241886,0.05176083406047592,10
TERCE,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006803264562040568,0.0005695363159091509,10
CFE4MTS,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4763996959663928,0.10517294026571963,10
TIME-CF,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.00584202539176,0.009021967370755606,10
CEM-PN,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.007142226397991,0.4242826833938186,10
COUNTS,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.23740928629413,2.3678706974968393,10
COMTE-Advanced-Gradient,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.142216695938259,0.9032345445492564,10
Glacier-AE-Unif,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7117545023560524,0.02856200293421954,10
SPARCE,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.643731983192265,0.059133923162695466,10
SG-CF,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0003217494115,5.212658686913428e-05,10
Glacier-NoAE-Unc,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5855521914549172,0.013747631760679925,10
Glacier-AE-Glob,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6945680774748325,0.08504537338544792,10
Glacier-AE-Loc,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.691581607516855,0.08110411986215585,10
Glacier-NoAE-Glob,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5852984633296728,0.04582470286818003,10
Sub-SpaCE,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004654535837471485,0.008315812937081188,10
Glacier-AE-Unc,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7327560356818139,0.018665094035606077,10
Glacier-NoAE-Unif,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5821151413954795,0.041448309070514,10
DiSCoX,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.593037081509827,3.411086730769609,10
